generation_id,task,task_family,model,rep,executes,unit_test_pass,confirmatory_core,canonical_residual,threshold,generic_baseline_caught,differential_applicable,differential_fail
fft_amplitude_one_sided__qwen-2.5-72b-instruct__rep0,fft_amplitude_one_sided,spectral,qwen/qwen-2.5-72b-instruct,0,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_one_sided__qwen-2.5-72b-instruct__rep1,fft_amplitude_one_sided,spectral,qwen/qwen-2.5-72b-instruct,1,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_one_sided__qwen-2.5-72b-instruct__rep2,fft_amplitude_one_sided,spectral,qwen/qwen-2.5-72b-instruct,2,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_one_sided__qwen-2.5-72b-instruct__rep3,fft_amplitude_one_sided,spectral,qwen/qwen-2.5-72b-instruct,3,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__qwen-2.5-72b-instruct__rep0,fft_amplitude_two_sided,spectral,qwen/qwen-2.5-72b-instruct,0,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__qwen-2.5-72b-instruct__rep1,fft_amplitude_two_sided,spectral,qwen/qwen-2.5-72b-instruct,1,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__qwen-2.5-72b-instruct__rep2,fft_amplitude_two_sided,spectral,qwen/qwen-2.5-72b-instruct,2,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__qwen-2.5-72b-instruct__rep3,fft_amplitude_two_sided,spectral,qwen/qwen-2.5-72b-instruct,3,True,True,0,7.401486830834377e-16,0.02,False,True,False
parseval_energy_check__qwen-2.5-72b-instruct__rep0,parseval_energy_check,spectral,qwen/qwen-2.5-72b-instruct,0,True,True,0,1.5509872416418486e-16,0.0001,False,True,False
parseval_energy_check__qwen-2.5-72b-instruct__rep1,parseval_energy_check,spectral,qwen/qwen-2.5-72b-instruct,1,True,True,1,0.9972214201411029,0.0001,False,True,True
parseval_energy_check__qwen-2.5-72b-instruct__rep2,parseval_energy_check,spectral,qwen/qwen-2.5-72b-instruct,2,True,True,0,1.5509872416418486e-16,0.0001,False,True,False
parseval_energy_check__qwen-2.5-72b-instruct__rep3,parseval_energy_check,spectral,qwen/qwen-2.5-72b-instruct,3,True,True,0,1.5509872416418486e-16,0.0001,False,True,False
db_power_amplitude_convention__qwen-2.5-72b-instruct__rep0,db_power_amplitude_convention,spectral,qwen/qwen-2.5-72b-instruct,0,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__qwen-2.5-72b-instruct__rep1,db_power_amplitude_convention,spectral,qwen/qwen-2.5-72b-instruct,1,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__qwen-2.5-72b-instruct__rep2,db_power_amplitude_convention,spectral,qwen/qwen-2.5-72b-instruct,2,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__qwen-2.5-72b-instruct__rep3,db_power_amplitude_convention,spectral,qwen/qwen-2.5-72b-instruct,3,True,True,0,0.0,0.001,False,True,False
freq_axis_mapping__qwen-2.5-72b-instruct__rep0,freq_axis_mapping,spectral,qwen/qwen-2.5-72b-instruct,0,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__qwen-2.5-72b-instruct__rep1,freq_axis_mapping,spectral,qwen/qwen-2.5-72b-instruct,1,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__qwen-2.5-72b-instruct__rep2,freq_axis_mapping,spectral,qwen/qwen-2.5-72b-instruct,2,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__qwen-2.5-72b-instruct__rep3,freq_axis_mapping,spectral,qwen/qwen-2.5-72b-instruct,3,True,True,0,0.0,1e-06,False,True,False
welch_psd_normalization__qwen-2.5-72b-instruct__rep0,welch_psd_normalization,spectral,qwen/qwen-2.5-72b-instruct,0,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__qwen-2.5-72b-instruct__rep1,welch_psd_normalization,spectral,qwen/qwen-2.5-72b-instruct,1,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__qwen-2.5-72b-instruct__rep2,welch_psd_normalization,spectral,qwen/qwen-2.5-72b-instruct,2,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__qwen-2.5-72b-instruct__rep3,welch_psd_normalization,spectral,qwen/qwen-2.5-72b-instruct,3,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
psd_naive_periodogram__qwen-2.5-72b-instruct__rep0,psd_naive_periodogram,spectral,qwen/qwen-2.5-72b-instruct,0,True,True,1,0.6190581983656565,0.02,False,True,False
psd_naive_periodogram__qwen-2.5-72b-instruct__rep1,psd_naive_periodogram,spectral,qwen/qwen-2.5-72b-instruct,1,True,True,0,3.9273897210947655e-05,0.02,False,True,False
psd_naive_periodogram__qwen-2.5-72b-instruct__rep2,psd_naive_periodogram,spectral,qwen/qwen-2.5-72b-instruct,2,True,True,0,3.9273897210947655e-05,0.02,False,True,False
psd_naive_periodogram__qwen-2.5-72b-instruct__rep3,psd_naive_periodogram,spectral,qwen/qwen-2.5-72b-instruct,3,True,True,1,0.8472690897858701,0.02,False,True,False
window_power_normalization__qwen-2.5-72b-instruct__rep0,window_power_normalization,spectral,qwen/qwen-2.5-72b-instruct,0,True,True,1,0.5001220703843458,0.05,False,True,True
window_power_normalization__qwen-2.5-72b-instruct__rep1,window_power_normalization,spectral,qwen/qwen-2.5-72b-instruct,1,True,True,0,4.440892098500626e-16,0.05,False,True,False
window_power_normalization__qwen-2.5-72b-instruct__rep2,window_power_normalization,spectral,qwen/qwen-2.5-72b-instruct,2,True,True,0,4.440892098500626e-16,0.05,False,True,False
window_power_normalization__qwen-2.5-72b-instruct__rep3,window_power_normalization,spectral,qwen/qwen-2.5-72b-instruct,3,True,False,0,,0.05,True,True,
fir_unity_dc_gain__qwen-2.5-72b-instruct__rep0,fir_unity_dc_gain,filter,qwen/qwen-2.5-72b-instruct,0,True,True,0,2.220446049250313e-16,0.001,False,True,False
